epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,703.562,0.83675,0.8811,0.93495,1,0.97062,0.995,0.56469,1.42484,1.86106,1.05531,0.0007328,0.0007328,0.0007328
66,712.929,0.83583,1.00486,0.95154,1,0.97252,0.995,0.56469,1.45645,1.77485,1.07074,0.000713,0.000713,0.000713
67,721.702,0.7938,0.87184,0.94008,1,0.97627,0.995,0.5479,1.39548,1.69991,1.02562,0.0006932,0.0006932,0.0006932
68,731.009,0.81022,0.88192,0.93775,1,0.99123,0.995,0.65816,1.32181,1.55495,0.97037,0.0006734,0.0006734,0.0006734
69,740.259,0.95088,0.93438,1.04679,1,0.99123,0.995,0.65816,1.32181,1.55495,0.97037,0.0006536,0.0006536,0.0006536
70,750.082,0.77635,0.87095,0.97247,0.99203,1,0.995,0.65816,1.33398,1.41269,0.94984,0.0006338,0.0006338,0.0006338
71,758.72,0.81372,0.91304,0.96375,0.98505,1,0.995,0.7077,1.33302,1.38522,0.94459,0.000614,0.000614,0.000614
72,768.595,0.77322,0.89312,0.95939,0.97993,1,0.995,0.65254,1.37276,1.35746,0.94713,0.0005942,0.0005942,0.0005942
73,778.255,0.81791,0.83138,0.9327,0.97993,1,0.995,0.65254,1.37276,1.35746,0.94713,0.0005744,0.0005744,0.0005744
74,787.698,0.74445,0.79134,0.95045,0.97612,1,0.995,0.70807,1.37081,1.29799,0.93414,0.0005546,0.0005546,0.0005546
75,797.486,0.78826,0.76651,0.95058,0.9722,1,0.995,0.61978,1.38924,1.23576,0.93192,0.0005348,0.0005348,0.0005348
76,806.719,0.84137,0.8092,0.95528,0.96822,1,0.995,0.69711,1.37791,1.22988,0.91474,0.000515,0.000515,0.000515
77,816.21,0.76874,0.78932,0.92146,0.96822,1,0.995,0.69711,1.37791,1.22988,0.91474,0.0004952,0.0004952,0.0004952
78,825.167,0.8148,0.81937,0.97711,0.96939,1,0.995,0.69711,1.37708,1.23328,0.91061,0.0004754,0.0004754,0.0004754
79,834.508,0.81109,0.82711,0.94556,0.96823,1,0.995,0.66411,1.40897,1.27296,0.91533,0.0004556,0.0004556,0.0004556
80,843.295,0.74657,0.77149,0.92549,0.97597,1,0.995,0.66411,1.45568,1.33389,0.93176,0.0004358,0.0004358,0.0004358
81,852.577,0.80434,0.78766,0.95619,0.97597,1,0.995,0.66411,1.45568,1.33389,0.93176,0.000416,0.000416,0.000416
82,861.9,0.80205,0.80028,0.97319,0.99393,1,0.995,0.65254,1.49068,1.40218,0.95426,0.0003962,0.0003962,0.0003962
83,871.211,0.86463,0.87453,0.94815,1,0.98399,0.995,0.68607,1.51975,1.56214,0.98347,0.0003764,0.0003764,0.0003764
84,880.759,0.72927,0.73779,0.92768,1,0.97301,0.995,0.68607,1.53947,1.70193,1.00438,0.0003566,0.0003566,0.0003566
85,893.623,0.73894,0.7353,0.93534,1,0.97301,0.995,0.68607,1.53947,1.70193,1.00438,0.0003368,0.0003368,0.0003368
86,907.786,0.70628,0.77392,0.90479,1,0.96696,0.995,0.68607,1.53074,1.77519,1.00289,0.000317,0.000317,0.000317
87,919.053,0.78872,0.84228,0.98601,1,0.96125,0.995,0.60857,1.50721,1.78151,0.98717,0.0002972,0.0002972,0.0002972
88,927.884,0.74231,0.75875,0.93098,1,0.96555,0.995,0.66411,1.45955,1.69823,0.96019,0.0002774,0.0002774,0.0002774
89,943.506,0.76832,0.76945,0.93568,1,0.96555,0.995,0.66411,1.45955,1.69823,0.96019,0.0002576,0.0002576,0.0002576
90,960.263,0.67492,0.74979,0.89389,1,0.97335,0.995,0.66411,1.42982,1.54516,0.93318,0.0002378,0.0002378,0.0002378
91,976.623,0.54276,0.77152,0.89145,1,0.97649,0.995,0.61978,1.41909,1.5295,0.9202,0.000218,0.000218,0.000218
92,994.016,0.55121,0.77052,0.88936,1,0.97831,0.995,0.61978,1.4397,1.55519,0.92358,0.0001982,0.0001982,0.0001982
93,1011.46,0.58871,0.78682,0.89939,1,0.97831,0.995,0.61978,1.4397,1.55519,0.92358,0.0001784,0.0001784,0.0001784
94,1028,0.63435,0.76494,0.8917,1,0.97804,0.995,0.61978,1.45199,1.57048,0.92836,0.0001586,0.0001586,0.0001586
95,1045.52,0.58836,0.74123,0.83693,1,0.97835,0.995,0.61978,1.46304,1.58268,0.93633,0.0001388,0.0001388,0.0001388
96,1074.38,0.53803,0.71174,0.91802,1,0.97842,0.995,0.61978,1.46739,1.57781,0.94059,0.000119,0.000119,0.000119
97,1090.53,0.58378,0.73868,0.83876,1,0.97842,0.995,0.61978,1.46739,1.57781,0.94059,9.92e-05,9.92e-05,9.92e-05
98,1110.1,0.54203,0.70198,0.88362,1,0.9781,0.995,0.66374,1.45893,1.56617,0.9396,7.94e-05,7.94e-05,7.94e-05
99,1126.41,0.56886,0.72978,0.84177,1,0.97848,0.995,0.66374,1.44902,1.54219,0.93441,5.96e-05,5.96e-05,5.96e-05
100,1144.31,0.5053,0.71813,0.84786,1,0.97858,0.995,0.66374,1.44177,1.52078,0.93041,3.98e-05,3.98e-05,3.98e-05
